,name,url,country,revision_id,article_quality
181,Kadri Prishtina,https://en.wikipedia.org/wiki/Kadri_Prishtina,Albania,1115424613,Start
182,Ymer Prizreni,https://en.wikipedia.org/wiki/Ymer_Prizreni,Albania,1114419180,Start
183,Avni Rustemi,https://en.wikipedia.org/wiki/Avni_Rustemi,Albania,1113688253,C
184,Chatin Sarachi,https://en.wikipedia.org/wiki/Chatin_Sarachi,Albania,1089622596,C
185,Nebi Sefa,https://en.wikipedia.org/wiki/Nebi_Sefa,Albania,978173646,Stub
186,Eduard Shalsi,https://en.wikipedia.org/wiki/Eduard_Shalsi,Albania,1090651886,Start
187,Ylli Vesel Shehu,https://en.wikipedia.org/wiki/Ylli_Vesel_Shehu,Albania,1002857261,Stub
188,Athanas Shundi,https://en.wikipedia.org/wiki/Athanas_Shundi,Albania,1090001664,B
189,Xhelal Sveçla,https://en.wikipedia.org/wiki/Xhelal_Sveçla,Albania,1110419834,Start
190,Mehmet Tahsini,https://en.wikipedia.org/wiki/Mehmet_Tahsini,Albania,1089358942,Stub
191,Ibrahim Temo,https://en.wikipedia.org/wiki/Ibrahim_Temo,Albania,1114899959,GA
192,Pavli Terka,https://en.wikipedia.org/wiki/Pavli_Terka,Albania,1107079359,Start
193,Afrim Tole,https://en.wikipedia.org/wiki/Afrim_Tole,Albania,1091240960,Stub
194,Sejfi Vllamasi,https://en.wikipedia.org/wiki/Sejfi_Vllamasi,Albania,1073823015,Start
195,Syrja Vlora,https://en.wikipedia.org/wiki/Syrja_Vlora,Albania,1109383587,Start
196,Visarion Xhuvani,https://en.wikipedia.org/wiki/Visarion_Xhuvani,Albania,1115321286,C
197,Visar Ymeri,https://en.wikipedia.org/wiki/Visar_Ymeri,Albania,1036757024,Stub
198,Abdyl Ypi,https://en.wikipedia.org/wiki/Abdyl_Ypi,Albania,1075914314,Stub
199,Xhezair Zaganjori,https://en.wikipedia.org/wiki/Xhezair_Zaganjori,Albania,1106753028,Start
200,Menduh Zavalani,https://en.wikipedia.org/wiki/Menduh_Zavalani,Albania,1071577719,GA
201,Said Abadou,https://en.wikipedia.org/wiki/Said_Abadou,Algeria,1112193748,Stub
202,Tahar Allan,https://en.wikipedia.org/wiki/Tahar_Allan,Algeria,1059626268,Stub
203,Mohamed Seghir Babes,https://en.wikipedia.org/wiki/Mohamed_Seghir_Babes,Algeria,1079379844,Stub
204,Djelloul Baghli,https://en.wikipedia.org/wiki/Djelloul_Baghli,Algeria,1053461392,Stub
205,Noureddine Bahbouh,https://en.wikipedia.org/wiki/Noureddine_Bahbouh,Algeria,1099284595,Stub
206,Lamine Bechichi,https://en.wikipedia.org/wiki/Lamine_Bechichi,Algeria,1111537825,Stub
207,Bakhti Belaïb,https://en.wikipedia.org/wiki/Bakhti_Belaïb,Algeria,1107713309,Stub
208,Mohamed Belouizdad,https://en.wikipedia.org/wiki/Mohamed_Belouizdad,Algeria,1102331624,Start
